Rank,Player,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Saquon Barkley (PHI),12,246,1499,6.1,958,3.9,541,2.2,14,22,-49,72,32,13,9,6,5,72,29,37,8,126
2,Derrick Henry (BAL),13,240,1407,5.9,735,3.1,672,2.8,28,18,-34,87,29,14,7,3,3,87,13,15,4,50
3,Jahmyr Gibbs (DET),12,163,973,6.0,599,3.7,374,2.3,13,9,-36,70,30,8,2,2,1,70,28,36,7,33
4,Joe Mixon (HOU),10,205,887,4.3,467,2.3,412,2.0,18,28,-68,45,25,7,4,2,1,59,27,40,6,94
5,Josh Jacobs (GB),12,221,987,4.5,424,1.9,563,2.5,26,24,-37,38,26,6,4,0,0,38,27,34,4,101
6,Alvin Kamara (NO),12,206,894,4.3,522,2.5,372,1.8,13,21,-49,12,23,3,0,0,0,24,59,79,5,91
7,Bijan Robinson (ATL),12,193,885,4.6,459,2.4,426,2.2,16,14,-28,37,16,3,1,0,0,37,51,56,4,106
8,Kyren Williams (LAR),12,222,926,4.2,509,2.3,417,1.9,14,23,-47,13,20,2,1,0,0,30,26,32,7,36
9,David Montgomery (DET),12,166,720,4.3,329,2.0,391,2.4,19,12,-18,16,16,1,0,0,0,21,27,29,3,112
10,James Cook (BUF),11,151,703,4.7,376,2.5,327,2.2,13,16,-26,65,17,3,2,2,1,65,26,32,2,39
11,De'Von Achane (MIA),12,139,576,4.1,289,2.1,287,2.1,6,26,-53,8,16,2,2,1,0,47,57,64,12,74
12,Chuba Hubbard (CAR),12,189,919,4.9,517,2.7,402,2.1,7,11,-19,38,20,6,2,0,0,38,31,40,8,35
13,Breece Hall (NYJ),12,164,692,4.2,336,2.0,356,2.2,6,16,-43,18,20,3,2,1,0,42,46,62,5,144
