Rank    Player  G   COMP    ATT PCT YDS Y/A AIR AIR/A   10+ YDS 20+ YDS 30+ YDS 40+ YDS 50+ YDS PKT TIME    SACK    KNCK    HRRY    BLITZ   POOR    DROP    RZ ATT  RTG
1,Lamar Jackson (BAL),13,254,379,67%,3290,8.7,1828,4.8,137,44,14,11,5,2.5,19,22,43,121,55,21,52,118
2	Jayden Daniels (WAS)	13	252	362	70%	2,819	7.8	1,657	4.6	107	36	14	8	6	2.3	29	26	28	123	48	15	50	98
3	Joe Burrow (CIN)	12	302	446	68%	3,337	7.5	1,966	4.4	126	37	18	11	4	2.3	30	50	28	100	55	20	77	106
4	Jalen Hurts (PHI)	12	208	304	69%	2,494	8.3	1,470	4.8	91	37	17	10	2	2.6	31	21	30	102	38	5	38	105
5	Josh Allen (BUF)	12	230	356	65%	2,691	7.6	1,394	3.9	102	39	14	7	3	2.3	13	29	23	100	59	18	47	104
6	Baker Mayfield (TB)	12	288	407	71%	3,034	7.5	1,503	3.7	123	36	10	2	1	2.1	28	14	27	123	47	22	54	102
7	Bo Nix (DEN)	13	277	434	64%	2,842	6.5	1,696	3.9	98	42	16	3	1	2.5	19	31	40	131	73	20	52	88
8	Sam Darnold (MIN)	12	242	358	67%	2,952	8.2	1,955	5.4	113	46	12	7	3	2.7	36	29	42	86	44	14	56	103
9	Patrick Mahomes II (KC)	12	292	427	68%	2,979	7.0	1,509	3.5	126	33	14	3	2	2.3	32	46	37	98	61	16	75	91
10	Kyler Murray (ARI)	12	246	358	69%	2,603	7.3	1,536	4.3	108	28	7	2	1	2.4	21	16	30	100	48	14	38	96
11	Jared Goff (DET)	12	244	340	72%	2,982	8.8	1,485	4.4	109	43	16	8	6	2.4	22	40	25	90	42	6	58	113
12	Geno Smith (SEA)	12	300	436	69%	3,241	7.4	1,873	4.3	131	38	12	4	2	2.4	40	40	32	107	48	19	40	90
13	Brock Purdy (SF)	11	213	324	66%	2,707	8.3	1,728	5.3	110	37	21	9	3	2.6	22	30	25	102	47	14	57	95
14	Caleb Williams (CHI)	12	253	411	62%	2,612	6.4	1,493	3.6	102	30	12	5	0	2.4	50	31	36	124	90	13	51	86
15	C.J. Stroud (HOU)	13	272	430	63%	3,117	7.2	1,916	4.5	131	37	15	6	4	2.4	41	39	58	126	71	23	47	86
16	Jordan Love (GB)	10	194	308	63%	2,518	8.2	1,475	4.8	94	35	15	11	5	2.4	10	29	30	92	51	25	51	97
17	Justin Herbert (LAC)	12	213	336	64%	2,551	7.5	1,577	4.7	103	37	12	5	2	2.5	32	41	16	104	43	23	39	100
18	Aaron Rodgers (NYJ)	12	262	419	63%	2,627	6.3	1,419	3.4	110	36	5	2	2	2.3	28	44	19	119	77	24	59	90
19	Matthew Stafford (LAR)	12	270	409	66%	2,983	7.3	1,786	4.4	114	36	10	5	3	2.4	28	52	23	115	73	11	58	95
20	Kirk Cousins (ATL)	12	269	399	67%	3,052	7.6	1,800	4.5	127	36	13	6	3	2.4	24	44	23	81	45	12	40	91
21	Trevor Lawrence (JAC)	10	172	284	61%	2,045	7.2	1,331	4.7	83	32	9	4	4	2.4	18	17	13	71	47	15	36	82
22	Tua Tagovailoa (MIA)	8	207	278	74%	2,125	7.6	1,134	4.1	93	21	8	3	3	2.1	18	8	14	40	32	9	44	105
23	Derek Carr (NO)	9	169	248	68%	1,926	7.8	1,083	4.4	69	24	10	7	5	2.4	7	19	36	67	29	8	25	105
24	Daniel Jones (MIN)	10	216	341	63%	2,070	6.1	1,287	3.8	82	19	6	2	0	2.4	29	44	21	89	40	24	30	82
25	Drake Maye (NE)	10	172	256	67%	1,696	6.6	930	3.6	69	17	6	1	0	2.4	25	20	16	62	34	9	30	74
26	Anthony Richardson (IND)	9	102	215	47%	1,511	7.0	956	4.4	58	23	14	6	4	2.4	11	23	29	55	54	10	16	70
27	Dak Prescott (DAL)	8	185	286	65%	1,978	6.9	1,163	4.1	73	23	7	3	2	2.3	21	28	33	62	50	6	28	87
28	Jameis Winston (CLE)	10	141	230	61%	1,763	7.7	1,194	5.2	74	20	8	4	2	2.3	16	19	20	41	39	13	27	65
29	Justin Fields (PIT)	9	106	161	66%	1,106	6.9	637	4.0	40	15	7	2	1	2.5	16	16	11	48	24	7	19	66
30	Will Levis (TEN)	9	154	240	64%	1,659	6.9	1,062	4.4	60	20	10	5	3	2.4	37	28	16	53	48	16	14	85
31	Russell Wilson (PIT)	6	123	187	66%	1,626	8.7	938	5.0	60	30	14	4	0	2.5	18	28	16	59	31	7	28	105
32	Gardner Minshew II (LV)	10	203	306	66%	2,013	6.6	1,080	3.5	85	22	6	2	2	2.2	29	27	25	109	38	8	35	81
33	Bryce Young (CAR)	9	139	234	59%	1,381	5.9	902	3.9	59	18	6	1	0	2.2	14	24	28	87	54	11	36	75
34	Deshaun Watson (CLE)	7	137	216	63%	1,148	5.3	681	3.2	45	11	2	0	0	2.6	33	37	16	72	34	20	16	81
35	Joe Flacco (IND)	6	113	170	66%	1,167	6.9	784	4.6	52	15	3	2	1	2.2	13	14	10	44	28	9	29	75
36	Andy Dalton (CAR)	6	106	160	66%	989	6.2	601	3.8	41	13	5	0	0	2.2	7	11	10	56	21	9	21	72
37	Cooper Rush (DAL)	8	112	185	61%	1,008	5.4	558	3.0	39	10	4	2	1	2.4	7	10	13	31	29	9	20	63
38	Mason Rudolph (TEN)	4	76	128	59%	806	6.3	533	4.2	35	10	3	1	0	2.6	6	16	13	29	24	7	16	75
39	Malik Willis (GB)	5	29	39	74%	380	9.7	181	4.6	11	7	6	1	1	2.2	5	0	2	12	6	3	4	88
40	Jacoby Brissett (NE)	7	94	159	59%	828	5.2	479	3.0	28	7	3	1	1	2.4	18	28	16	53	28	13	23	65
41	Aidan O'Connell (LV)	5	75	117	64%	795	6.8	462	3.9	30	9	4	2	1	2.3	6	9	14	25	22	1	12	87
42	Mac Jones (JAC)	5	57	92	62%	512	5.6	263	2.9	19	7	1	1	1	2.3	6	5	2	28	21	3	9	72
