Rank	Player	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
1	Brock Bowers (LV)	12	84	884	10.5	439	5.2	636	7.6	445	5.3	116	1.4	5	113	27.1%	87	3	10	35	11	2	1	1	57
2	George Kittle (SF)	10	50	649	13.0	390	7.8	503	10.1	259	5.2	109	2.2	2	61	17.9%	52	2	15	27	11	5	2	0	43
3	Mark Andrews (BAL)	13	43	490	11.4	360	8.4	490	11.4	130	3.0	40	0.9	0	51	14.0%	46	3	10	25	4	1	0	0	38
4	Trey McBride (ARI)	11	73	781	10.7	449	6.2	619	8.5	332	4.5	117	1.6	4	92	26.4%	75	2	11	33	6	1	0	0	37
5	Jonnu Smith (MIA)	12	58	648	11.2	303	5.2	418	7.2	345	5.9	90	1.6	6	74	18.9%	63	5	10	34	2	2	1	1	57
6	Tucker Kraft (GB)	12	36	480	13.3	136	3.8	227	6.3	344	9.6	170	4.7	8	49	14.5%	41	5	13	18	5	2	2	2	67
7	Taysom Hill (NO)	8	23	187	8.1	50	2.2	109	4.7	137	6.0	54	2.3	2	31	8.7%	25	2	2	6	2	1	0	0	34
8	Zach Ertz (WAS)	13	52	501	9.6	375	7.2	559	10.8	126	2.4	35	0.7	0	75	20.2%	55	3	15	20	6	0	0	0	25
9	Travis Kelce (KC)	12	75	637	8.5	377	5.0	633	8.4	260	3.5	78	1.0	3	101	25.1%	79	4	18	22	8	1	0	0	38
10	Cade Otton (TB)	12	54	506	9.4	255	4.7	385	7.1	251	4.6	106	2.0	3	80	19.9%	62	8	14	18	5	1	0	0	30
11	Sam LaPorta (DET)	11	31	391	12.6	182	5.9	283	9.1	209	6.7	61	2.0	2	44	13.3%	31	0	9	13	7	3	1	1	52
12	David Njoku (CLE)	9	49	397	8.1	198	4.0	343	7.0	199	4.1	66	1.3	3	74	16.2%	56	8	10	14	3	0	0	0	29
13	Kyle Pitts (ATL)	12	35	494	14.1	267	7.6	452	12.9	227	6.5	97	2.8	3	54	13.9%	37	2	7	17	6	5	3	2	52
14	Hunter Henry (NE)	13	58	610	10.5	369	6.4	594	10.2	241	4.2	83	1.4	2	83	21.0%	60	2	13	28	4	3	0	0	35
15	Cole Kmet (CHI)	12	42	448	10.7	284	6.8	384	9.1	164	3.9	45	1.1	1	50	13.0%	43	1	7	18	7	1	0	0	31
16	Pat Freiermuth (PIT)	12	41	422	10.3	221	5.4	257	6.3	201	4.9	87	2.1	3	47	14.4%	43	2	7	14	5	1	0	0	30
17	Noah Gray (KC)	12	31	373	12.0	193	6.2	257	8.3	180	5.8	33	1.1	0	36	9.0%	31	0	6	19	6	1	0	0	35
18	Isaiah Likely (BAL)	12	33	384	11.6	157	4.8	380	11.5	227	6.9	69	2.1	2	47	12.9%	34	2	11	14	4	2	2	0	49
19	Dallas Goedert (PHI)	9	38	441	12.2	231	5.9	329	8.4	244	6.3	71	1.8	2	46	16.2%	40	1	9	15	7	5	2	1	61
20	Mike Gesicki (CIN)	12	39	436	11.2	279	7.2	448	11.5	157	4.0	23	0.6	0	52	12.2%	42	2	7	19	5	2	1	0	47
21	Austin Hooper (NE)	13	31	337	10.9	163	5.3	234	7.5	174	5.6	58	1.9	3	42	10.6%	33	1	6	12	3	1	0	0	38
22	Dalton Schultz (HOU)	13	41	424	10.3	255	6.2	533	13.0	169	4.1	47	1.1	0	64	15.0%	43	2	4	16	4	1	0	0	32
23	Dalton Kincaid (BUF)	10	34	356	10.5	145	4.3	427	12.6	211	6.2	85	2.5	3	59	17.3%	40	6	8	14	4	0	0	0	28
24	Will Dissly (LAC)	12	41	399	9.7	159	3.9	273	6.7	240	5.9	75	1.8	4	53	16.3%	45	4	6	16	5	0	0	0	29
25	Juwan Johnson (NO)	12	30	313	10.4	193	6.4	298	9.9	120	4.0	33	1.1	2	39	11.0%	32	2	4	14	5	0	0	0	27
26	Tyler Conklin (NYJ)	12	33	284	8.6	127	3.8	236	7.2	157	4.8	49	1.5	0	49	11.8%	34	1	6	11	5	0	0	0	27
27	Foster Moreau (NO)	12	17	223	13.1	159	9.4	269	15.8	64	3.8	13	0.8	1	25	7.0%	17	0	6	8	4	2	1	0	41
28	Josh Oliver (MIN)	10	19	216	11.4	119	6.3	186	9.8	97	5.1	19	1.0	0	22	6.5%	20	1	3	9	4	0	0	0	28
29	Evan Engram (JAC)	8	43	332	7.7	198	4.6	334	7.8	134	3.1	37	0.9	0	58	16.0%	46	3	3	14	2	0	0	0	24
30	Theo Johnson (NYG)	12	29	331	11.4	182	6.3	288	9.9	149	5.1	29	1.0	1	43	11.1%	34	5	1	15	4	1	0	0	35
31	Chig Okonkwo (TEN)	12	27	289	10.7	134	5.0	223	8.3	155	5.7	68	2.5	0	38	10.9%	30	3	4	9	3	1	1	1	70
