Rank	Player	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
1	Ja'Marr Chase (CIN)	12	79	1,142	14.5	604	7.6	1,028	13.0	538	6.8	199	2.5	7	109	25.5%	84	5	20	39	14	10	7	4	70
2	Terry McLaurin (WAS)	13	61	896	14.7	649	10.6	1,117	18.3	247	4.0	96	1.6	2	82	22.0%	62	1	10	33	10	5	5	5	86
3	Amon-Ra St. Brown (DET)	12	76	820	10.8	559	7.4	758	10.0	261	3.4	64	0.8	1	92	27.8%	79	3	16	33	9	1	0	0	35
4	Justin Jefferson (MIN)	12	68	1,038	15.3	733	10.8	1,141	16.8	305	4.5	77	1.1	4	100	29.6%	71	3	14	39	20	5	3	1	97
5	Jayden Reed (GB)	12	44	693	15.8	374	8.5	499	11.3	319	7.3	75	1.7	3	58	17.2%	51	7	8	19	12	8	5	3	70
6	Brian Thomas Jr. (JAC)	12	46	765	16.6	441	9.6	958	20.8	324	7.0	115	2.5	0	73	20.2%	51	5	8	27	10	5	4	4	85
7	CeeDee Lamb (DAL)	12	79	880	11.1	508	6.4	974	12.3	372	4.7	176	2.2	9	124	26.5%	86	7	12	31	11	4	2	2	65
8	Courtland Sutton (DEN)	13	63	846	13.4	696	11.0	1,399	22.2	150	2.4	27	0.4	1	104	24.9%	69	6	17	34	14	4	0	0	37
9	Drake London (ATL)	12	70	796	11.4	588	8.4	1,130	16.1	208	3.0	93	1.3	3	106	27.3%	73	3	19	38	4	1	0	0	31
10	Zay Flowers (BAL)	13	60	863	14.4	460	7.7	915	15.3	403	6.7	96	1.6	5	94	25.8%	64	4	7	37	17	3	3	1	53
11	Jerry Jeudy (CLE)	12	54	880	16.3	630	11.7	1,187	22.0	250	4.6	17	0.3	0	91	19.9%	59	5	8	36	10	7	3	2	89
12	Jaxon Smith-Njigba (SEA)	12	70	829	11.8	478	6.8	877	12.5	351	5.0	80	1.1	3	97	23.2%	74	4	9	33	11	3	2	0	46
13	Nico Collins (HOU)	8	49	832	17.0	520	10.6	774	15.8	312	6.4	102	2.1	2	72	16.9%	52	3	9	33	12	6	4	3	67
14	Garrett Wilson (NYJ)	12	74	763	10.3	456	6.2	1,079	14.6	307	4.1	105	1.4	3	118	28.5%	78	5	18	29	11	1	0	0	35
15	Ladd McConkey (LAC)	12	58	815	14.1	553	9.5	833	14.4	262	4.5	84	1.4	6	81	24.9%	60	2	6	37	10	4	2	1	60
16	A.J. Brown (PHI)	9	44	793	18.0	537	12.2	834	19.0	256	5.8	103	2.3	6	62	21.8%	44	0	4	34	13	5	4	1	67
17	Darnell Mooney (ATL)	12	51	731	14.2	530	10.2	1,068	20.5	207	4.0	73	1.4	6	87	22.4%	58	6	6	32	16	5	1	0	41
18	DJ Moore (CHI)	12	62	663	10.7	311	5.0	830	13.4	352	5.7	91	1.5	4	96	24.9%	64	2	15	27	9	5	1	0	44
19	Marvin Harrison Jr. (ARI)	12	41	606	14.8	513	12.5	1,073	26.2	93	2.3	42	1.0	0	78	22.4%	45	4	7	28	9	2	1	1	60
20	George Pickens (PIT)	12	55	850	15.5	651	11.8	1,183	21.5	199	3.6	94	1.7	4	90	27.6%	61	5	16	30	16	12	3	0	44
21	Alec Pierce (IND)	13	29	645	22.2	547	18.9	1,177	40.6	98	3.4	17	0.6	0	54	14.6%	32	3	4	23	10	8	5	3	65
22	Tyreek Hill (MIA)	12	55	654	11.9	427	7.8	935	17.0	227	4.1	37	0.7	1	83	21.2%	56	1	13	28	9	3	1	1	80
23	Mike Evans (TB)	9	39	521	13.4	405	10.4	699	17.9	116	3.0	39	1.0	1	63	15.6%	42	3	10	27	8	0	0	0	27
24	Calvin Ridley (TEN)	12	43	679	15.8	536	12.5	1,398	32.5	143	3.3	26	0.6	2	87	24.9%	48	5	3	27	11	6	4	1	63
25	Jameson Williams (DET)	10	34	630	18.5	311	9.1	706	20.8	319	9.4	30	0.9	2	55	16.6%	36	2	7	19	12	6	4	4	70
26	Jauan Jennings (SF)	10	50	684	13.7	511	10.2	672	13.4	173	3.5	95	1.9	4	70	20.5%	53	3	12	31	11	6	1	0	45
27	Malik Nabers (NYG)	10	75	740	9.9	509	6.8	1,094	14.6	231	3.1	81	1.1	3	116	30.0%	84	9	6	30	8	1	0	0	39
28	DK Metcalf (SEA)	10	50	763	15.3	549	11.0	1,082	21.6	214	4.3	66	1.3	2	84	20.1%	54	4	7	30	15	6	2	2	71
29	Jordan Addison (MIN)	10	36	575	16.0	443	12.3	810	22.5	132	3.7	65	1.8	2	56	16.6%	38	2	7	20	10	4	4	2	69
30	Chris Godwin (TB)	8	50	576	11.5	226	4.5	355	7.1	350	7.0	128	2.6	4	62	15.4%	52	2	6	23	7	2	2	1	55
31	Cooper Kupp (LAR)	8	58	565	9.7	328	5.7	597	10.3	237	4.1	56	1.0	2	83	20.9%	60	2	9	16	7	1	1	1	69
32	Rashod Bateman (BAL)	13	35	574	16.4	444	12.7	739	21.1	130	3.7	27	0.8	0	55	15.1%	39	4	5	23	7	4	3	1	59
33	Tee Higgins (CIN)	7	43	558	13.0	386	9.0	686	16.0	172	4.0	101	2.3	4	68	15.9%	45	2	12	25	8	2	1	0	42
34	Demarcus Robinson (LAR)	12	28	433	15.5	379	13.5	737	26.3	54	1.9	16	0.6	1	53	13.3%	28	0	10	18	7	4	2	0	46
35	Josh Downs (IND)	10	53	594	11.2	345	6.5	605	11.4	249	4.7	63	1.2	0	78	21.1%	57	4	11	27	7	2	1	1	69
36	Nick Westbrook-Ikhine (TEN)	12	20	365	18.3	260	13.0	467	23.4	105	5.3	21	1.1	1	38	10.9%	23	3	6	13	4	3	1	1	98
37	Jakobi Meyers (LV)	10	59	676	11.5	476	8.1	735	12.5	200	3.4	49	0.8	2	86	20.6%	60	1	9	30	8	2	1	0	43
38	Xavier Worthy (KC)	12	33	407	12.3	186	5.6	714	21.6	221	6.7	36	1.1	0	61	15.2%	37	4	8	17	3	3	1	1	54
39	DeVonta Smith (PHI)	9	41	516	12.6	330	8.0	581	14.2	186	4.5	42	1.0	0	56	19.7%	42	1	6	17	7	3	3	0	46
40	Khalil Shakir (BUF)	11	60	629	10.5	149	2.5	285	4.8	480	8.0	161	2.7	6	73	21.4%	61	1	6	26	7	3	1	1	52
41	Stefon Diggs (HOU)	8	47	496	10.6	311	6.6	556	11.8	185	3.9	54	1.1	3	64	15.0%	50	3	5	23	5	1	1	0	49
42	Jaylen Waddle (MIA)	12	45	601	13.4	419	9.3	569	12.6	182	4.0	33	0.7	0	60	15.3%	52	7	5	31	10	2	1	1	63
43	Keenan Allen (CHI)	10	44	441	10.0	306	7.0	727	16.5	135	3.1	37	0.8	0	79	20.5%	47	4	9	17	4	2	1	0	40
44	DeAndre Hopkins (KC)	12	41	498	12.1	417	10.2	593	14.5	81	2.0	31	0.8	3	57	16.3%	43	2	9	22	6	4	0	0	35
45	Davante Adams (NYJ)	9	49	553	11.3	347	7.1	710	14.5	206	4.2	77	1.6	3	85	20.4%	52	3	12	25	8	2	0	0	37
46	Quentin Johnston (LAC)	10	24	366	15.3	192	8.0	573	23.9	174	7.3	44	1.8	4	46	14.2%	29	5	5	11	7	1	1	1	66
47	Allen Lazard (NYJ)	7	30	412	13.7	291	9.7	476	15.9	121	4.0	63	2.1	0	44	10.6%	33	3	10	17	7	2	1	1	52
48	Deebo Samuel Sr. (SF)	11	38	531	13.6	231	5.9	449	11.5	301	7.7	157	4.0	3	61	17.9%	44	5	10	20	8	4	3	2	76
49	Tank Dell (HOU)	12	43	543	12.6	393	9.1	857	19.9	150	3.5	39	0.9	3	72	16.9%	49	6	8	23	7	3	1	1	50
50	Jalen Tolbert (DAL)	12	39	451	11.6	368	9.4	749	19.2	83	2.1	23	0.6	0	61	13.0%	40	1	9	15	5	3	1	0	48
51	Puka Nacua (LAR)	7	42	546	13.0	274	6.5	572	13.6	272	6.5	95	2.3	6	61	15.3%	43	1	6	26	6	1	0	0	37
52	Calvin Austin III (PIT)	12	22	383	17.4	263	12.0	479	21.8	120	5.5	25	1.1	1	38	11.7%	24	2	2	13	8	3	2	1	55
53	Michael Pittman Jr. (IND)	12	46	550	12.0	359	7.8	968	21.0	191	4.2	87	1.9	3	79	21.4%	47	1	8	22	10	3	0	0	33
54	Xavier Legette (CAR)	12	37	393	10.6	309	8.4	679	18.4	84	2.3	30	0.8	0	59	15.6%	44	6	10	16	6	2	0	0	35
55	Tre Tucker (LV)	12	36	425	11.8	238	6.6	639	17.8	187	5.2	49	1.4	3	57	13.7%	37	1	4	16	5	2	2	2	58
56	Tyler Lockett (SEA)	12	41	511	12.5	402	9.8	643	15.7	109	2.7	32	0.8	1	62	14.8%	45	4	7	20	6	3	0	0	37
57	Rome Odunze (CHI)	12	41	543	13.2	360	8.8	1,079	26.3	183	4.5	42	1.0	4	76	19.7%	44	3	10	25	6	2	2	0	47
58	Keon Coleman (BUF)	9	22	417	19.0	226	10.3	469	21.3	191	8.7	116	5.3	4	36	10.6%	25	3	6	16	10	3	3	1	57
59	Andrei Iosivas (CIN)	12	23	309	13.4	280	12.2	510	22.2	29	1.3	11	0.5	0	42	9.8%	27	4	7	15	4	1	0	0	39
60	Romeo Doubs (GB)	10	34	483	14.2	390	11.5	679	20.0	93	2.7	25	0.7	2	53	15.7%	40	6	6	24	7	1	0	0	39
61	Rashid Shaheed (NO)	6	20	349	16.7	244	11.6	722	34.4	107	5.1	7	0.3	0	41	11.5%	21	0	2	11	5	3	3	2	70
62	Christian Watson (GB)	11	22	450	20.5	346	15.7	716	32.5	104	4.7	15	0.7	0	38	11.2%	23	1	5	15	8	6	4	1	60
63	Wan'Dale Robinson (NYG)	12	63	447	7.1	214	3.4	390	6.2	233	3.7	89	1.4	4	91	23.5%	67	4	10	15	2	0	0	0	23
64	Michael Wilson (ARI)	12	37	416	11.2	338	9.1	634	17.1	78	2.1	37	1.0	1	55	15.8%	39	2	6	18	8	2	0	0	34
65	Ray-Ray McCloud III (ATL)	12	45	476	10.6	243	5.4	418	9.3	233	5.2	94	2.1	1	61	15.7%	45	0	3	20	6	1	1	1	60
66	DeMario Douglas (NE)	13	52	497	9.4	187	3.5	430	8.1	310	5.8	86	1.6	2	70	17.7%	58	5	3	18	7	1	0	0	35
67	Amari Cooper (BUF)	10	34	386	11.4	303	8.9	788	23.2	83	2.4	24	0.7	1	66	14.4%	45	11	5	17	5	1	0	0	30
68	KaVontae Turpin (DAL)	12	25	328	13.1	121	4.8	296	11.8	207	8.3	63	2.5	2	37	7.9%	27	2	6	11	5	3	1	1	64
69	Diontae Johnson (BAL)	11	31	363	11.7	276	8.9	691	22.3	87	2.8	23	0.7	1	63	16.7%	34	3	10	16	5	2	0	0	39
70	Darius Slayton (NYG)	11	34	477	14.0	392	11.5	758	22.3	85	2.5	45	1.3	3	58	15.0%	38	4	4	20	6	4	2	0	43
71	Jalen Nailor (MIN)	12	18	270	15.0	202	11.2	348	19.3	68	3.8	24	1.3	0	30	8.9%	22	4	7	12	5	2	0	0	33
